#BLTrackFile2 Z21088
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-6.96505 -86.3355 21088 -6.31292 4.41124 228.946 80.4315 211 261 1 0 1 0 0 0 0 0 0 38.6571 21139.5 0 0 0 2.26899 -426.639 -0.0187794 0 160.469 
11.0708 32.5893 21088 -6.34101 2.00172 227.754 80.3847 211 1253 1 0 1 0 0 0 0 0 0 39.0773 21055.1 0 0 0 -0.920712 -426.764 -0.012283 0 156.542 
-54.4961 53.4245 21088 6.54828 1.11709 221.837 80.9616 211 3692 1 0 1 0 0 0 0 0 0 39.7342 21140.6 0 0 0 -0.412384 -426.729 -0.0140967 0 154.879 
45.7118 -18.1734 21088 0.27121 0.718393 227.391 80.656 211 3852 1 0 1 0 0 0 0 0 0 39.2674 21116.6 0 0 0 1.63982 -426.239 -0.0395971 0 155.979 
21.7085 26.5261 21088 -2.43538 0.826768 232.901 80.2562 211 3886 1 0 1 0 0 0 0 0 0 38.439 21116.6 0 0 0 -1.94496 -427.872 0.0453692 0 161.215 
-95.1263 -12.7836 21088 9.92277 -3.40522 229.415 80.3418 211 4289 1 0 1 0 0 0 0 0 0 38.7277 21097.7 0 0 0 -0.885139 -426.822 -0.0092871 0 159.332 
45.7889 84.6876 21088 -4.02438 4.03975 224.727 76.2938 -13 5046 1001 1 1 0 0 0 0 0 0 27.5209 19251.7 0 0 0 10.2438 -295.54 1831.3 6.42053 169.447 
-15.9962 -73.1246 21088 6.48783 -4.45437 236.693 77.8414 -13 5731 1001 1 1 0 0 0 0 0 0 15.0815 10794.1 0 0 0 2010.75 20.4618 9236.06 38.8002 180.719 
-88.7424 -103.913 21088 8.62653 -2.1575 232.911 76.8992 -13 5970 1001 1 1 0 0 0 0 0 0 26.0312 18715 0 0 0 53.5354 -286.921 2427.12 9.25716 175.549 
93.1392 33.2246 21088 -8.01771 19.328 210.94 80.1948 -13 5987 1001 1 1 0 0 0 0 0 0 0.309015 190.777 0 0 0 11888 13.3095 11921.3 79.4873 136.242 
81.7535 -247.827 21088 -1.72815 -25.2544 18.3382 80.5655 14 5987 1002 1 1 0 0 0 0 0 0 0 323.215 0 0 0 11888 13.3095 11921.3 79.4873 31.258 
83.1018 -83.9571 21088 -7.37541 -0.42668 232.144 76.7422 -13 6136 1001 1 1 0 0 0 0 0 0 18.2055 12930.4 0 0 0 201.109 -11.5352 8140.68 29.9186 178.189 
-126.271 -79.3761 21088 10.7382 -6.02059 237.653 78.177 -13 6537 1001 1 1 0 0 0 0 0 0 15.5045 11079.2 0 0 0 1792.49 46.3574 9149.35 38.0966 177.889 
