#BLTrackFile VirtualDetector/Ckov1a
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-8.22585 -85.6365 21128 -7.22386 1.23729 220.225 80.5883 211 261 1 0 1
-28.2835 -13.5199 21128 -105.763 -114.962 100.975 80.6868 211 1253 1 0 1
-53.2687 53.4509 21128 8.80539 -1.61459 213.182 81.12 211 3692 1 0 1
45.4421 -17.9106 21128 -1.74336 0.73383 220.761 80.8129 211 3852 1 0 1
21.5675 26.8444 21128 0.886283 2.90378 223.926 80.4121 211 3886 1 0 1
-94.0226 -13.4846 21128 4.1959 -4.57875 222.482 80.4983 211 4289 1 0 1
45.3743 85.4151 21128 -1.02161 5.35318 217.098 76.4415 -13 5046 1001 1 1
-14.9167 -72.8675 21128 6.03929 1.99607 230.468 77.9877 -13 5731 1001 1 1
-87.1358 -104.007 21128 10.9635 -0.201052 226.726 77.0459 -13 5970 1001 1 1
91.5025 37.0601 21128 -10.1024 21.2659 204.437 80.3448 -13 5987 1001 1 1
81.8203 -83.756 21128 -6.27651 2.16945 225.872 76.8889 -13 6136 1001 1 1
-124.141 -80.733 21128 15.3256 -7.55926 230.232 78.3235 -13 6537 1001 1 1
