#BLTrackFile NTuple/Z16808
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-20.6959 -15.0795 16808.1 0.0616967 -3.43732 241.585 63.7346 211 98 1 0 1
0.748633 -40.9178 16808.1 0.906635 -6.06319 237.394 63.8324 211 261 1 0 1
65.8326 -25.1919 16808.1 4.58889 -4.84541 234.904 64.0225 211 1107 1 0 1
67.0391 14.3395 16808.1 3.6314 1.14477 235.868 63.7726 211 1253 1 0 1
24.8933 -25.3865 16808.1 3.32521 -3.99648 238.188 63.7955 211 2195 1 0 1
86.93 -54.7397 16808.1 18.1303 -18.5813 141.807 64.1056 -13 2375 1001 1 1
-87.3237 185.191 16808.1 -15.8396 21.9875 85.4746 63.6766 14 2375 1002 1 1
91.447 -45.3191 16808.1 11.1765 -12.1213 278.745 77.6843 2212 3061 1001 1 1
296.613 -13.4607 16808.1 41.1597 1.67412 166.034 64.5162 -13 3467 1001 1 1
-102.028 21.6322 16808.1 -11.1645 5.24452 229.27 64.2182 211 3692 1 0 1
57.4772 -29.9445 16808.1 4.98532 0.288211 235.475 64.0412 211 3852 1 0 1
28.9533 37.327 16808.1 2.0272 -0.438102 240.262 63.7299 211 3886 1 0 1
-97.0049 10.1033 16808.1 -10.4699 -0.732231 236.837 63.7531 211 4289 1 0 1
50.0478 27.7436 16808.1 4.15668 5.38415 232.941 60.6024 -13 5046 1001 1 1
345.925 75.8612 16808.1 56.7557 2.96197 124.751 65.5698 -13 5072 1001 1 1
91.1454 51.6669 16808.1 11.5921 -2.01091 241.755 63.6047 211 5721 1 0 1
-6.3287 -25.6132 16808.1 -2.58465 -6.40055 243.125 62.2604 -13 5731 1001 1 1
-102.341 -45.5071 16808.1 -11.2986 -6.81835 240.654 61.282 -13 5970 1001 1 1
111.708 34.8638 16808.1 10.9359 -0.572137 235.799 63.6132 211 5987 1 0 1
22.6605 -40.1469 16808.1 7.83856 -4.42949 237.995 61.1014 -13 6136 1001 1 1
-10.2566 -69.3481 16808.1 10.8086 -8.41803 213.519 62.8931 -13 6517 1001 1 1
-145.481 3.81048 16808.1 -15.427 -5.86444 243.422 62.5912 -13 6537 1001 1 1
