#BLTrackFile VirtualDetector/TOF0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-6.6332 -86.8948 21062.6 0.186782 1.83615 235.785 80.3329 211 261 1 0 1
11.8583 32.5223 21062.6 -4.29395 0.67149 234.26 80.286 211 1253 1 0 1
-55.491 53.4393 21062.6 10.0161 -0.20827 227.89 80.8622 211 3692 1 0 1
46.0334 -18.1066 21062.6 -5.99655 1.05395 233.95 80.5574 211 3852 1 0 1
21.9838 26.6236 21062.6 -3.36621 -1.57317 238.92 80.1581 211 3886 1 0 1
-96.1874 -12.4677 21062.6 8.30679 -1.97322 235.756 80.2432 211 4289 1 0 1
46.1575 84.3368 21062.6 -3.44415 4.09069 231.818 76.2005 -13 5046 1001 1 1
-16.2763 -72.8507 21062.6 1.10714 -1.52925 242.089 77.749 -13 5731 1001 1 1
-89.7024 -103.572 21062.6 9.05938 -1.78152 240.085 76.8065 -13 5970 1001 1 1
94.009 30.6705 21062.6 -7.17405 22.9242 216.24 80.1 -13 5987 1001 1 1
84.1471 -212.847 21062.6 -1.72815 -25.2544 18.3382 80.4211 14 5987 1002 1 1
83.6317 -83.8577 21062.6 -2.64389 -1.59536 237.06 76.6494 -13 6136 1001 1 1
-127.546 -78.722 21062.6 14.3172 -6.56927 242.574 78.0845 -13 6537 1001 1 1
