# exit
#x y z t Bx By Bz Ex Ey Ez
0 0 0 0 6.02985e-18 -0.000247406 2.79422e-05 0 0 0 
0 0 1 0 1.22208e-17 -0.000240297 2.84222e-05 0 0 0 
0 0 2 0 1.84118e-17 -0.000233187 2.89022e-05 0 0 0 
0 0 3 0 2.46027e-17 -0.000226078 2.93822e-05 0 0 0 
0 0 4 0 3.07937e-17 -0.000218968 2.98622e-05 0 0 0 
0 0 5 0 3.69846e-17 -0.000211859 3.03423e-05 0 0 0 
0 0 6 0 4.31756e-17 -0.00020475 3.08223e-05 0 0 0 
0 0 7 0 4.93665e-17 -0.00019764 3.13023e-05 0 0 0 
0 0 8 0 5.55575e-17 -0.000190531 3.17823e-05 0 0 0 
0 0 9 0 6.17484e-17 -0.000183421 3.22623e-05 0 0 0 
0 0 10 0 6.79394e-17 -0.000176312 3.27423e-05 0 0 0 
0 0 11 0 -1.62658e-07 -0.000164371 3.73312e-05 0 0 0 
0 0 12 0 -3.25316e-07 -0.000152431 4.192e-05 0 0 0 
0 0 13 0 -4.87975e-07 -0.00014049 4.65088e-05 0 0 0 
0 0 14 0 -6.50633e-07 -0.00012855 5.10977e-05 0 0 0 
0 0 15 0 -8.13291e-07 -0.000116609 5.56865e-05 0 0 0 
0 0 16 0 -9.75949e-07 -0.000104669 6.02754e-05 0 0 0 
0 0 17 0 -1.13861e-06 -9.27282e-05 6.48642e-05 0 0 0 
0 0 18 0 -1.30127e-06 -8.07877e-05 6.9453e-05 0 0 0 
0 0 19 0 -1.46392e-06 -6.88473e-05 7.40419e-05 0 0 0 
0 0 20 0 -1.62658e-06 -5.69068e-05 7.86307e-05 0 0 0 
0 0 21 0 -2.1739e-06 -4.53711e-05 8.02304e-05 0 0 0 
0 0 22 0 -2.72123e-06 -3.38355e-05 8.18301e-05 0 0 0 
0 0 23 0 -3.26855e-06 -2.22999e-05 8.34298e-05 0 0 0 
0 0 24 0 -3.81587e-06 -1.07643e-05 8.50295e-05 0 0 0 
0 0 25 0 -4.36319e-06 7.71336e-07 8.66293e-05 0 0 0 
0 0 26 0 -4.91051e-06 1.2307e-05 8.8229e-05 0 0 0 
0 0 27 0 -5.45783e-06 2.38426e-05 8.98287e-05 0 0 0 
0 0 28 0 -6.00516e-06 3.53782e-05 9.14284e-05 0 0 0 
0 0 29 0 -6.55248e-06 4.69138e-05 9.30281e-05 0 0 0 
0 0 30 0 -7.0998e-06 5.84494e-05 9.46278e-05 0 0 0 
0 0 31 0 -6.38982e-06 7.07596e-05 8.90345e-05 0 0 0 
0 0 32 0 -5.67984e-06 8.30697e-05 8.34411e-05 0 0 0 
